
Item,-2619.9,10-17-2018
Services,-6263.61,03-20-2010
Games,-7409.25,04-30-2016
Fuel,613.93,03-14-2017
Automotive,622.4,09-14-2014
Insurance,-7574.4,08-10-2013
Games,-10.86,10-08-2017
Fuel,2305.06,04-06-2016
Insurance,-4474.71,11-18-2011
Supplies,1220.55,04-09-2013
Office,-2086.56,09-17-2010
Bill,-6952.7,11-20-2017
Fuel,9578.02,01-24-2016
Office,-9269.05,06-13-2016
Supplies,9432.32,02-04-2013
Groceries,3827.58,04-17-2014
Medical,-1452.33,09-06-2017
Bill,444.59,02-01-2017
Gift,-4114.27,12-16-2017
Games,-5927.57,01-18-2017
Insurance,9849.03,09-07-2012
Supplies,3322.72,01-03-2018
Medical,-2574.58,06-30-2013
Fuel,-4181.45,05-10-2017
Gift,-9197.32,07-10-2010
Automotive,-2625.74,08-01-2016
Services,-7998.96,05-07-2013
Office,-4576.09,04-22-2013
Medical,2612.0,05-18-2012
Automotive,-2006.42,01-04-2015
Fuel,9257.29,09-20-2015
Office,-6745.27,10-11-2017
Bill,-184.59,12-09-2018
Bill,2053.66,08-02-2010
Fuel,-7454.11,06-20-2014
Automotive,9302.94,05-12-2014
Fuel,-5478.75,12-20-2011
Fuel,-2421.54,02-07-2015
Games,9619.35,07-18-2014
Services,5833.3,10-19-2015
Insurance,4908.28,01-06-2018
Bill,1275.47,04-20-2012
Supplies,-9438.16,04-05-2016
Supplies,-3070.82,05-19-2017
Insurance,8275.57,07-29-2010
Automotive,291.28,02-25-2012
Fuel,125.76,03-14-2012
Supplies,9200.04,10-16-2015
Bill,351.4,07-02-2010
Groceries,-5739.9,12-25-2013
Services,-9119.13,09-15-2014
Services,7933.63,03-18-2018
Supplies,4621.68,06-07-2011
Supplies,-952.66,07-04-2018
Services,-6553.9,11-18-2018
Supplies,8620.2,07-15-2018
Medical,-1886.28,12-26-2013
Office,4547.03,08-29-2013
Automotive,562.46,04-28-2017
Bill,-4954.35,07-05-2018
Gift,3372.7,01-23-2013
Supplies,-4525.59,12-04-2016
Games,-7121.22,04-27-2016
Automotive,2045.04,03-02-2018
Insurance,293.18,03-06-2014
Games,6301.46,08-28-2013
Games,-3939.7,01-30-2011
Gift,-6472.63,04-29-2015
Item,-3980.52,10-03-2016
Insurance,9315.71,05-20-2014
Fuel,-8806.77,05-02-2012
Groceries,-5472.71,03-05-2012
Supplies,-3696.08,02-02-2010
Office,8239.34,02-09-2010
Gift,3447.0,04-12-2015
Gift,-191.5,05-29-2017
Bill,7513.21,09-15-2018
Supplies,8927.77,03-03-2016
Games,7568.96,06-03-2011
Office,938.64,08-10-2010
Fuel,4898.7,11-15-2017
Fuel,3373.93,03-14-2011
Office,-6975.4,07-03-2012
Automotive,8774.68,06-22-2013
Gift,9797.19,12-04-2011
Insurance,-6423.54,04-10-2016
Insurance,6459.76,05-16-2012
Supplies,-1057.71,03-28-2014
Games,6104.65,02-05-2017
Automotive,-2212.95,12-07-2017
Fuel,-5350.6,11-27-2012
Gift,-5837.4,01-04-2014
Groceries,-5333.91,01-20-2013
Services,3234.24,11-10-2016
Bill,7211.03,08-27-2011
Supplies,-826.22,09-13-2012
Medical,-6849.52,02-18-2012
Automotive,-3371.94,04-28-2010
Bill,5098.85,03-25-2011
Office,1514.84,12-30-2018
Services,-1469.38,07-09-2018
Supplies,-3418.3,08-10-2015
Medical,-1741.64,04-11-2012
Supplies,4583.24,03-02-2013
Games,-536.75,01-12-2012
Groceries,-9456.19,06-10-2012
Gift,3808.91,06-07-2018
Office,8147.72,11-03-2011
Gift,-3334.04,10-12-2011
Bill,2916.64,03-20-2011
Item,-5264.37,08-13-2017
Office,-4107.94,11-10-2011
Groceries,812.85,04-17-2010
Automotive,-9257.4,02-03-2014
Fuel,-1690.17,08-18-2010
Insurance,9585.17,02-12-2013
Supplies,9521.86,02-08-2011
Bill,-1326.31,09-03-2011
Automotive,3320.6,06-21-2015
Medical,5117.28,03-10-2013
Item,-2317.62,02-20-2017
Medical,5895.26,01-21-2011
Insurance,5688.61,07-19-2010
Games,-3088.19,10-14-2016
Games,8672.7,03-11-2015
Automotive,4257.68,10-05-2018
Item,3146.17,11-26-2010
Automotive,4116.64,11-01-2011
Bill,7942.34,11-28-2011
Supplies,-923.46,07-27-2013
Automotive,1406.14,05-16-2015
Groceries,-5501.63,05-19-2013
Groceries,-5014.51,01-11-2018
Groceries,1893.84,11-08-2010
Games,-3394.56,11-27-2015
Bill,107.57,12-08-2010
Office,4907.04,10-26-2018
Fuel,7949.97,02-27-2015
Groceries,-8202.81,05-05-2012
Groceries,-7447.54,07-12-2014
Groceries,6584.12,05-24-2012
Office,198.0,02-26-2014
Supplies,8878.76,09-12-2017
Fuel,-4886.84,08-22-2013
Medical,851.15,05-09-2011
Fuel,-3600.87,02-08-2017
Office,-8418.52,01-15-2015
Groceries,-6051.97,05-07-2018
Games,-812.2,11-05-2016
Supplies,-3830.16,06-27-2016
Games,10.72,06-04-2011
Games,-8711.73,12-29-2016
Medical,1064.57,08-12-2018
Insurance,-9191.32,12-14-2018
Gift,-7286.28,03-24-2015
Gift,-213.59,09-16-2012
Insurance,6401.87,07-22-2012
Bill,-9687.61,02-07-2016
Gift,-1634.61,04-03-2010
Bill,9078.86,12-22-2016
Groceries,-1476.19,12-26-2017
Insurance,-801.85,02-06-2013
Groceries,-4098.97,10-20-2018
Medical,3142.24,07-10-2016
Insurance,-7460.77,03-14-2015
Insurance,-4419.09,02-20-2018
Groceries,9287.84,05-11-2014
Games,-9832.27,09-30-2014
Games,4257.86,01-24-2017
Games,-3588.42,01-08-2012
Fuel,1115.62,12-22-2015
Office,5447.27,01-16-2013
Games,-4449.67,02-03-2014
Supplies,5864.12,01-17-2013
Item,-2199.9,04-04-2010
Bill,2159.77,12-19-2016
Office,-6513.11,10-21-2013
Gift,3566.28,05-26-2012
Games,-1569.01,08-05-2018
Services,-5034.68,01-15-2012
Gift,2639.93,04-18-2012
Item,-5298.8,11-03-2014
Automotive,9159.61,07-21-2016
Supplies,6959.76,01-20-2013
Gift,-7388.34,06-21-2018
Services,-5036.31,06-23-2016
Groceries,5509.76,05-27-2014
Automotive,-8188.68,10-22-2018
Automotive,6148.79,04-27-2017
Games,-62.65,01-19-2014
Services,-3891.59,10-19-2010
Automotive,-203.96,04-04-2012
Insurance,-2868.06,08-20-2018
Office,-9334.46,12-19-2015
Insurance,3071.2,01-05-2014
Office,8967.73,09-09-2016
Item,-7721.65,01-24-2012
Gift,-4978.7,07-07-2018
Fuel,6641.09,03-19-2017
Automotive,-9157.02,12-15-2017
Office,-4427.97,03-08-2018
Gift,-2061.57,09-22-2010
Bill,4666.64,12-07-2017
Supplies,3751.4,07-09-2010
Services,236.58,07-06-2018
Item,-7352.26,04-04-2016
Fuel,-8880.28,04-13-2015
Games,6395.44,05-21-2013
Fuel,-508.57,11-09-2015
Services,9769.91,12-11-2015
Medical,2090.9,11-30-2016
Games,-816.0,07-09-2011
Insurance,-5616.93,08-25-2012
Insurance,-8552.13,12-15-2011
Insurance,-7436.27,09-23-2010
Fuel,-8451.58,11-06-2012
Automotive,4658.89,02-10-2014
Medical,-6340.73,10-27-2012
Games,-7242.26,12-04-2011
Insurance,-280.95,08-25-2017
Office,-3048.49,12-17-2016
Bill,1431.13,02-20-2013
Supplies,8943.02,04-26-2011
Fuel,1334.91,02-15-2011
Services,-6532.11,10-21-2013
Item,8886.05,09-14-2012
Bill,367.65,03-16-2010
Gift,-9221.1,05-08-2013
Item,-6072.29,12-14-2017
Medical,8881.36,01-25-2013
Item,1302.44,01-08-2010
Supplies,-7724.88,07-16-2010
Games,-6328.29,03-17-2014
Item,-4540.47,08-10-2011
Groceries,5195.94,09-09-2012
Insurance,-3445.41,10-09-2018
Fuel,-8338.75,02-01-2016
Services,6410.34,11-01-2017
Medical,6545.54,02-20-2016
Automotive,-8709.73,10-01-2010
